醫院名稱,科別,組別,認定年度,資格效期,醫事機構代碼,地址,鄉鎮市區,地址-街路門牌,權屬別,型態別,電話,院所明細查詢,定位地址,WGS84經度,WGS84緯度
三軍總醫院澎湖分院附設民眾診療服務處,,一般內科,107,107年11月1日至112年12月31日,0544010031,澎湖縣馬公市前寮里90號1-5樓,馬公市,前寮里90號1-5樓,軍方醫院(民眾診療),綜合醫院,06 9211116,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0544010031,澎湖縣馬公市前寮里3鄰前寮90號,119.583681,23.554615
澄清綜合醫院中港分院,,一般內科、兒科、一般外科、婦產科,107,107年11月1日至112年12月31日,1517061032,臺中市西屯區敬德街8之1號,西屯區,敬德街8之1號,私立西醫醫院,綜合醫院,04 24632000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1517061032,臺中市西屯區林厝里11鄰敬德街8之1號,120.612155,24.199307
高雄市立聯合醫院,,一般內科、一般外科,107,107年11月1日至112年12月31日,0102020011,高雄市鼓山區中華一路976號,鼓山區,中華一路976號,部立及直轄市立醫院,綜合醫院,07-5552565,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0102020011,高雄市鼓山區龍水里7鄰中華一路976號,120.291698,22.654924
中山醫學大學附設醫院,,一般內科、兒科、一般外科、婦產科,107,107年11月1日至112年12月31日,1317040011,臺中市南區建國北路一段一一○號,南區,建國北路一段一一○號,私立醫學院、校附設醫院,綜合醫院,04 24739595,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1317040011,臺中市南區樹德里7鄰建國北路一段11號,120.647533,24.119282
衛生福利部草屯療養院,,精神科,107,107年11月1日至112年12月31日,0138030010,南投縣草屯鎮玉屏路１６１號,草屯鎮,玉屏路１６１號,部立及直轄市立醫院,精神科醫院,049-2550800,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0138030010,南投縣草屯鎮御史里14鄰玉屏路161號,120.704532,23.990395
大千綜合醫院,,一般內科、一般外科,107,107年11月1日至112年12月31日,1535010051,苗栗縣苗栗市大同路133號1至6樓(81栗建管苗字第405號)、大同路133號1至4樓(77栗建管苗字第00414號)信義路23號地下層（一）及1至7樓(85栗建管苗字第287號)恭敬路36號地下第3層及1至9樓 (97栗商建苗使字第00112號)、信義街36號1至8樓（101）栗商建苗使字第00127號,苗栗市,大同路133號1至6樓(81栗建管苗字第405號)、大同路133號1至4樓(77栗建管苗字第00414號)信義路23號地下層（一）及1至7樓(85栗建管苗字第287號)恭敬路36號地下第3層及1至9樓 (97栗商建苗使字第00112號)、信義街36號1至8樓（101）栗商建苗使字第00127號,私立西醫醫院,綜合醫院,037-357125,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1535010051,苗栗縣苗栗市高苗里10鄰大同路133號,120.815489,24.551742
東元醫療社團法人東元綜合醫院,,一般內科、一般外科、婦產科,107,107年11月1日至112年12月31日,0933050018,新竹縣竹北市縣政二路69號(竹北市光明九路9-1號牙科.精神科門診部),竹北市,縣政二路69號(竹北市光明九路9-1號牙科.精神科門診部),醫療社團法人醫院,綜合醫院,03-5527000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0933050018,新竹縣竹北市斗崙里2鄰縣政二路68號,121.01455,24.823384
國軍高雄總醫院左營分院附設民眾診療服務處,,一般內科、一般外科,107,107年11月1日至112年12月31日,0502030015,高雄市左營區軍校路５５３號,左營區,軍校路５５３號,軍方醫院(民眾診療),綜合醫院,07 5811648,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0502030015,高雄市左營區合群里30鄰軍校路553號,120.292231,22.700351
天主教靈醫會醫療財團法人羅東聖母醫院,,一般內科、一般外科,107,107年11月1日至112年12月31日,1134020028,宜蘭縣羅東鎮中正南路160號,羅東鎮,中正南路160號,醫療財團法人醫院,綜合醫院,03-9544106,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1134020028,宜蘭縣羅東鎮南昌里6鄰中正南路160號,121.770714,24.671434
天主教耕莘醫療財團法人耕莘醫院,,一般內科、精神科、兒科、一般外科、婦產科,107,107年11月1日至112年12月31日,1231050017,新北市新店區中正路362號,新店區,中正路362號,宗教財團法人附設醫院,綜合醫院,02 2193391,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1231050017,新北市新店區百和里14鄰中正路362號,121.535619,24.976084
衛生福利部嘉南療養院,,精神科,107,107年11月1日至112年12月31日,0141270028,臺南市仁德區裕忠路539號,仁德區,裕忠路539號,部立及直轄市立醫院,精神科醫院,06-2795019,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0141270028,臺南市仁德區仁德里29鄰裕忠路539號,120.241951,22.976718
醫療財團法人辜公亮基金會和信治癌中心醫院,,一般內科,108,108年11月1日至113年12月31日,1101160026,臺北市北投區立德路１２５號,北投區,立德路１２５號,醫療財團法人醫院,綜合醫院,02-28970011,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1101160026,臺北市北投區一德里15鄰立德路125號,121.47201,25.12834
臺北市立聯合醫院(陽明院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市士林區雨聲街105號,士林區,雨聲街105號,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市士林區岩山里7鄰雨聲街105號,121.531566,25.105194
衛生福利部桃園醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0132010014,桃園市桃園區中山路一四九二號,桃園區,中山路一四九二號,部立及直轄市立醫院,綜合醫院,03 3699721,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0132010014,桃園市桃園區龍山里8鄰中山路1492號,121.268092,24.977705
台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1112010519,新竹市東區光復里光復路二段690號,東區,光復里光復路二段690號,醫療財團法人醫院,綜合醫院,03-6119595,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1112010519,新竹市東區光復里10鄰光復路二段690號,120.990781,24.800087
奇美醫療財團法人柳營奇美醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1141090512,臺南市柳營區太康里201號,柳營區,太康里201號,醫療財團法人醫院,綜合醫院,06-6226999,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1141090512,臺南市柳營區太康里13鄰太康201號,120.324704,23.289269
佛教慈濟醫療財團法人大林慈濟醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1140030012,嘉義縣大林鎮平林里民生路2號,大林鎮,平林里民生路2號,醫療財團法人醫院,綜合醫院,05-2648000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1140030012,嘉義縣大林鎮平林里7鄰民生路2號,120.457449,23.596312
澄清綜合醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1517011112,臺中市中區平等街139號,中區,平等街139號,私立西醫醫院,綜合醫院,04 24632000,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1517011112,臺中市中區光復里22鄰平等街139號,120.68161,24.142603
佛教慈濟醫療財團法人台中慈濟醫院,,一般內科、精神科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1136090519,臺中市潭子區豐興路一段66、88號,潭子區,豐興路一段66、88號,醫療財團法人醫院,綜合醫院,04-36060666,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1136090519,臺中市潭子區聚興里17鄰豐興路一段595號,120.722397,24.204014
基督復臨安息日會醫療財團法人臺安醫院,,一般內科、一般外科,108,108年11月1日至113年12月31日,1101010021,"臺北市松山區八德路二段424,426號",松山區,"八德路二段424,426號",醫療財團法人醫院,綜合醫院,0227718151,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1101010021,426號,臺北市松山區中正里2鄰八德路二段449號,121.547323
天主教耕莘醫療財團法人永和耕莘醫院,,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,1231030015,新北市永和區中興街80號地下1樓至地上6樓及國光路123號地下3樓至地上11樓,永和區,中興街80號地下1樓至地上6樓及國光路123號地下3樓至地上11樓,宗教財團法人附設醫院,綜合醫院,(02)29286060,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=1231030015,新北市永和區永興里25鄰中興街80號,121.51787,25.011873
臺北市立聯合醫院(中興院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市大同區鄭州路145號,大同區,鄭州路145號,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市大同區玉泉里9鄰鄭州路145號,121.508887,25.050692
臺北市立聯合醫院(忠孝院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市南港區同德路87號、南港區園區街3之2號2樓,南港區,同德路87號、南港區園區街3之2號2樓,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市南港區萬福里12鄰同德路87號,121.586157,25.046506
臺北市立聯合醫院(仁愛院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市大安區仁愛路四段10號,大安區,仁愛路四段10號,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市大安區仁慈里16鄰仁愛路四段10號,121.545302,25.03754
臺北市立聯合醫院(和平院區),,一般內科、兒科、一般外科、婦產科,108,108年11月1日至113年12月31日,0101090517,臺北市中正區中華路二段33號、福州街12號,中正區,中華路二段33號、福州街12號,部立及直轄市立醫院,綜合醫院,25523234,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?Page=3&HospID=0101090517,臺北市中正區愛國里3鄰中華路二段33號,121.506703,25.035591
